mjd,r,err_r,g,err_g,z,err_z,i,err_i
55927.5,18.59805988285767,0.1562059389477684,18.814447708780442,0.23322173126953538,19.132100820842354,0.1720296304139651,19.10339258507271,0.15920385769164452
55930.5625,18.457164549044364,0.12181915636112738,18.66094729289997,0.19584683558746405,19.002497957902058,0.1474387660897703,18.971520883891145,0.1329192578973789
55933.625,18.34419290586022,0.09901513114174933,18.539522816063553,0.16748866419026126,18.896267132469468,0.13572247390962056,18.86384591353972,0.1202134837126824
55936.6875,18.25967628136484,0.08657774170063731,18.451069392365063,0.14710663148221523,18.813454734460905,0.13281508335316705,18.780494325207414,0.11715668893062704
55939.75,18.20360540100306,0.08176627970131549,18.395859467181424,0.13342259374475726,18.75365701906871,0.1342223431582186,18.721126288705932,0.11891233715457188
55942.8125,18.175452167867476,0.0811007060565167,18.373550943235244,0.12492831721395474,18.716061965584288,0.13660619836346524,18.68497416432392,0.1217931570523017
55945.875,18.1742018804877,0.08179131591736225,18.383207925687017,0.1200381382775621,18.699498991954314,0.13808650312913953,18.670889481397566,0.12375775906043364
55948.9375,18.198395016429757,0.08223603789034703,18.423333902780996,0.11730478324774454,18.70249465149513,0.13785207446747721,18.67739650970394,0.12395753154987195
55952.0,18.246177476920508,0.08173786935794397,18.491916876257832,0.11557109256952172,18.7233322914265,0.13573983948058868,18.70275054831731,0.1222370341852028
55955.0625,18.315357983081768,0.08012179713308008,18.586485640479765,0.11401368084957397,18.760113593864645,0.13195501405187,18.744998973302387,0.11881569757964291
55958.125,18.40347114410011,0.07748312763313835,18.70417608886693,0.11211574707137248,18.810819951879793,0.12690690204308805,18.802043084271716,0.1141105999851857
55961.1875,18.50784458655231,0.07405433979218481,18.84180611065743,0.10961719090096309,18.873371754296542,0.12111086863364912,18.871698869620857,0.10863699668859085
55964.25,18.625668445968387,0.07014159075698946,18.99595734178716,0.10646635085480509,18.945683856019542,0.11512022604317172,18.951754965885556,0.10294398750508027
55967.3125,18.754065479000644,0.066094069681842,19.163061763934223,0.10277671662428989,19.025715783641402,0.10946464623016555,19.040026308318076,0.09755891158977523
55970.375,18.890160058495695,0.06227997293920763,19.339490919372338,0.09878207175759732,19.11151555231747,0.1045826891567658,19.134402243784535,0.09292541177158103
55973.4375,19.031144364104605,0.05904842403092467,19.52164534036207,0.09478129431372509,19.20125632922344,0.10074998576129457,19.232888186483677,0.08933376658260028
55976.5,19.174340176300433,0.0566654198745421,19.706041693507984,0.0910674955869731,19.293265549096688,0.0980214157874258,19.333640222904137,0.08686026628673353
55979.5625,19.317254818889722,0.05523353723121252,19.88939512321282,0.08784618396233743,19.386046445492752,0.09621427677324657,19.434992395169857,0.08534450444964625
55982.625,19.457629970200742,0.054633850758206294,20.068694352420806,0.08516230455860367,19.478292285687814,0.09494703160788363,19.53547669260024,0.08442309916999777
55985.6875,19.593482270945614,0.054532394143272156,20.241267267770283,0.08286656774750964,19.568893868722114,0.09372123227468156,19.633836043173574,0.08360916842520036
55988.75,19.723134891097985,0.05445506250981979,20.404834979722196,0.0806442355384757,19.65694105022348,0.09201786989549017,19.72903080636405,0.08238712470003695
55991.8125,19.845239472154816,0.053895108221700516,20.557552700716954,0.07810652760082179,19.74171918543857,0.08938726819391664,19.820239417851482,0.0802996897020648
55994.875,19.958788127468992,0.052421836362342045,20.698036214962514,0.0749288117076257,19.822701430441555,0.08553330489029116,19.906853921283414,0.07702720178259327
55997.9375,20.063115454269848,0.049797030019528704,20.825373205974046,0.07102977753818722,19.899537814685218,0.08041468534745025,19.988471144568223,0.0724823853436648
56001.0,20.157890778781976,0.04615108401246231,20.939119241872575,0.06681418204554361,19.97204190568388,0.07440642072743572,20.06488024501951,0.06696596350365534
56004.0625,20.243101112999824,0.042317561429964304,21.039278769821934,0.06349633243856674,20.040175743843562,0.06857475883549069,20.136047270522,0.06144700176129791
56007.125,20.319025541072207,0.04034684968881276,21.126272013845778,0.06331278077861567,20.10403355105902,0.0650157417639429,20.202097277314962,0.057948440735315805
56010.1875,20.386201968370287,0.04339789191531504,21.200889178530062,0.06892197217757207,20.16382453156136,0.06670113591512453,20.263294425407835,0.05947822076920237
56013.25,20.445387351571284,0.05355733653986586,21.26423380987609,0.08178501459485076,20.219854908459325,0.07593030740133429,20.32002035657834,0.06842276270008102
56016.3125,20.497512678777113,0.07030138137459555,21.3176575322136,0.10146969085586686,20.272509193432484,0.0927326811560194,20.37275106247381,0.08479525113033451
56019.375,20.543634081256954,0.0920794717395147,21.362688649423518,0.12662574138492277,20.32223058540376,0.11557184668241746,20.422032383792214,0.10703621725626583
56022.4375,20.584881530514892,0.11755294181666973,21.400957258263205,0.15586425150887762,20.369500347057567,0.14273540362215706,20.468454254065847,0.13348107460256012
56025.5,20.622406604893584,0.14565614297964802,21.434119566225675,0.18795858768523746,20.414816020209813,0.17278463025065308,20.512623816798552,0.16276362740145237
56028.5625,20.657330799003475,0.17542783753645114,21.463784037514543,0.2217871505107503,20.45866841063416,0.20448919141240343,20.555137601207434,0.19371571838509852
56031.625,20.690695798220403,0.20590355256170845,21.491441816068217,0.256261174211065,20.50151739250444,0.23670496640296848,20.596553033573954,0.22523741026015137
56034.6875,20.72341705186014,0.23606754697880628,21.51840360734711,0.2902841899348835,20.543766739780835,0.26829804188439305,20.6373596782458,0.2562224311466602
56037.75,20.7562418558944,0.26483834429666686,21.545744858405627,0.3227385507865047,20.585738370547247,0.29810996850288457,20.677950731773933,0.28552603402242016
56040.8125,20.78971300367644,0.2910730908962315,21.574260679290816,0.3524905002660523,20.62764657247601,0.3249492743260626,20.71859542113205,0.3119584597622155
56043.875,20.824138886227615,0.3135842247443297,21.604431520178238,0.3784090959494616,20.669572944788598,0.3475998579684914,20.759413067824923,0.3342944561518949
56046.9375,20.85957072791281,0.33116652067499125,21.636400180101603,0.399398181460893,20.711442927218698,0.3648420925866782,20.80034966058726,0.35129472377219634
56050.0,20.895787434883715,0.34263594414380827,21.669960295498797,0.41444434244859163,20.75300487524774,0.3754864632268212,20.841157819317147,0.36173901180691304
56053.0625,20.93228831872051,0.3468860301548718,21.704556058376042,0.42268868160119444,20.79381267286169,0.37842397271613015,20.88138102416538,0.364474752975583
56056.125,20.96829374245209,0.3429756929701557,21.739292559686447,0.4235384485361177,20.833212843555614,0.37270516137318926,20.920342922571763,0.3584924177501396
56059.1875,21.0027535266085,0.33028110695298746,21.77295585451553,0.4168497053731343,20.870337026469116,0.3576764386064666,20.957142413784354,0.34305538433597066
56062.25,21.0343627547108,0.30879108880237366,21.804041608809257,0.40323985895922243,20.90410053139223,0.3332445311815855,20.990655049334634,0.3179552977437498
56065.3125,21.06158443572143,0.27974712221875647,21.830791015552393,0.3846313864178587,20.933207482262404,0.3004522202031878,21.01954108685358,0.2840859395404695
56068.375,21.082678319848384,0.24712266937543503,21.85123256074833,0.36514785070735684,20.95616281543326,0.2628431221988883,21.04226030410399,0.2448802773016065
56071.4375,21.09573502730761,0.22075061935442794,21.863228172395623,0.35225717512550186,20.97129113070767,0.2295990013380034,21.05709343270391,0.20990363479671115
56074.5,21.098714539985664,0.219234789874454,21.864522292596448,0.35701033091675266,20.97676211541186,0.21973446267346844,21.062169820201277,0.20019756067189073
